team_name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Chennai Super Kings,9,10,8,12,12,8,7,11,0,0,6,6,4,10,10,9
Deccan Chargers,8,8,7,9,11,0,0,0,0,0,0,0,0,0,0,0
Delhi Capitals,6,7,6,7,4,7,7,7,6,6,9,6,11,7,5,5
Gujarat Lions,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0
Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
Kochi Tuskers Kerala,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Kolkata Knight Riders,9,7,8,7,8,7,5,4,7,6,6,9,10,6,5,7
Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
Mumbai Indians,6,8,11,8,6,11,9,10,7,6,9,10,9,8,5,6
Pune Warriors,0,0,0,6,7,7,0,0,0,0,0,0,0,0,0,0
Punjab Kings,7,6,8,7,8,8,10,7,8,8,7,7,6,9,9,9
Rajasthan Royals,6,5,8,5,11,8,6,5,0,0,8,5,4,7,13,7
Rising Pune Supergiant,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0
Royal Challengers Bangalore,7,6,4,5,7,11,6,6,10,8,6,9,10,8,9,9
Sunrisers Hyderabad,0,0,0,0,0,9,10,9,9,9,9,8,6,5,3,7
